RK,Name,Team,P,G
1,Robert Lewandowski,Bayern Munich,10,15
2,Erling Haaland,Borussia Dortmund,8,10
3,Serge Gnabry,Bayern Munich,10,9
4,Raheem Sterling,Manchester City,9,6
5,Memphis Depay,Lyon,8,6
6,Gabriel Jesus,Manchester City,8,6
7,Dries Mertens,Napoli,8,6
8,Harry Kane,Tottenham Hotspur,5,6
9,Kylian Mbappé,Paris Saint-Germain,10,5
10,Karim Benzema,Real Madrid,8,5
11,Luis Suárez,Barcelona,7,5
12,Josip Ilicic,Atalanta,7,5
13,Mauro Icardi,Paris Saint-Germain,7,5
14,Lautaro Martínez,Internazionale,6,5
15,Son Heung-Min,Tottenham Hotspur,6,5
16,Thomas Müller,Bayern Munich,10,4
17,Marcel Sabitzer,RB Leipzig,9,4
18,Emil Forsberg,RB Leipzig,9,4
19,Mohamed Salah,Liverpool,8,4
20,Cristiano Ronaldo,Juventus,8,4
